Date,BMA.BA,AGRO.BA,BBAR.BA,CEPU.BA,CRES.BA,COME.BA,EDN.BA,GGAL.BA,IRSA.BA,LOMA.BA,MELI.BA,PAMP.BA,SUPV.BA,TECO2.BA,TGSU2.BA,TXAR.BA,YPFD.BA,CAPX.BA,METR.BA,^MERV
2019-01-02 00:00:00+00:00,130.26,4,103.98,33.03,33.33,1.29,51.8,100.01,48.12,69.09,5641,50.15,50.15,104.31,97.49,11.33,509.71,55.67,26.3,31097
2019-01-03 00:00:00+00:00,131.63,3.89,104.2,32.84,33.15,1.25,49.6,100.9,47.13,67.19,5800,50.05,50.05,100.35,95.43,11.46,514.57,55.67,26.2,31065
2019-01-04 00:00:00+00:00,136.49,3.86,109.65,33.36,33.76,1.31,50.55,106.55,46.94,69.64,5962.85,52.95,52.95,104.13,102.18,12.16,534.47,57.46,27.2,32303
2019-01-07 00:00:00+00:00,146.91,4.04,112.69,33.08,34.89,1.32,50.4,109.87,48.61,71.75,6199,52.9,52.9,99.36,102.84,12.37,534.92,58.45,26.95,33011
2019-01-08 00:00:00+00:00,144.17,4.09,113.43,32.79,34.6,1.33,50.5,108.94,48.8,76.06,6150,53.8,53.8,103.41,100.43,12.57,532.43,57.46,26.35,32915
2019-01-09 00:00:00+00:00,146.91,4.13,116.02,34.9,35.28,1.33,51.6,112.68,50.08,79.45,6460,55.3,55.3,105.21,103.5,12.74,534.42,59.26,26.45,33769
2019-01-10 00:00:00+00:00,152.4,4.15,118.1,36.05,34.41,1.32,51.5,115.67,49.29,81.64,6350,53.5,53.5,107.86,103.85,13.15,531.14,60.61,26.7,34168
2019-01-11 00:00:00+00:00,152.08,4.2,116.65,35.62,35.21,1.32,51.4,112.4,49.88,79.02,6380,53.35,53.35,106.29,103.81,13.03,545.53,61.5,26.35,33885
2019-01-14 00:00:00+00:00,154.98,4.17,115.32,36,35.21,1.3,51.2,110.67,50.77,80.21,6365,53,53,106.38,104.24,13.03,532.53,58.36,28.2,33771
2019-01-15 00:00:00+00:00,153.65,4.17,115.58,36.05,34.96,1.27,50.2,109.87,50.18,77.88,6450,53.2,53.2,107.45,105.25,12.45,528.32,61.23,28.05,33563
2019-01-16 00:00:00+00:00,149.3,4.09,120.81,36.82,35.68,1.29,52.05,111.74,51.55,79.78,6500,53.8,53.8,110.33,107.8,12.61,550.15,61.32,29.15,34048
2019-01-17 00:00:00+00:00,152.71,4.04,120.84,36.62,35.68,1.35,51.95,111.42,51.45,78.85,6506,53.8,53.8,112.4,109.46,12.45,558.98,60.16,30.35,34263
2019-01-18 00:00:00+00:00,159.33,4.25,122.18,36.86,35.86,1.4,51.7,117.82,51.45,80.59,6600,54,54,110.87,109.46,12.45,573.87,61.05,30.7,35101
2019-01-21 00:00:00+00:00,161.09,4.22,119.58,36.62,35.14,1.4,51.7,117.31,51.8,78.6,6650,53.7,53.7,109.7,108.8,12.57,591.98,60.87,30.95,35303
2019-01-22 00:00:00+00:00,153.96,4.1,116.4,34.66,34.56,1.34,50.4,113.01,50.52,78.77,6174,52.05,52.05,109.75,107.01,12.28,567.81,60.43,29.95,34043
2019-01-23 00:00:00+00:00,161.68,4.09,117.1,35.33,34.81,1.35,50.7,119.41,50.67,77.46,6180,52.35,52.35,108.26,108.19,12.57,563.15,60.16,29.75,34819
2019-01-24 00:00:00+00:00,160.31,4.15,118.06,36.1,35.47,1.34,50.95,116.79,50.23,77.5,6300,52.6,52.6,109.79,108.23,12.61,587.46,62.85,29.9,34939
2019-01-25 00:00:00+00:00,160.94,4.07,117.03,35.95,35.5,1.31,50.8,118.66,50.42,78.35,6350,51.5,51.5,108.8,106.26,12.53,571.09,64.56,29.5,34811
2019-01-28 00:00:00+00:00,161.17,3.96,120.03,35.28,35.86,1.27,52,122.45,50.77,78.14,6550,51.55,51.55,108.8,107.01,12.28,563.4,62.85,29.3,34841
2019-01-29 00:00:00+00:00,168.81,3.97,122.7,36.43,36.37,1.29,52.55,122.22,50.08,78.56,6630,52.55,52.55,111.19,108.63,12.53,584.54,62.4,29.1,35511
2019-01-30 00:00:00+00:00,168.34,4.1,125.81,36.53,36.55,1.28,53.2,123.9,52.88,80.71,6900,53.3,53.3,111.14,110.16,12.45,591.04,63.75,30.5,36039
2019-01-31 00:00:00+00:00,168.07,4.1,124.55,36.86,36.23,1.31,53.5,126.57,54.5,79.28,6800,53.25,53.25,111.32,110.38,12.53,601.7,64.65,30.65,36327
2019-02-01 00:00:00+00:00,169.24,4.09,123.33,38.16,36.77,1.34,54.9,125.35,54.5,80.16,6800,53.25,53.25,111.82,109.16,12.82,610.09,64.65,30,36600
2019-02-04 00:00:00+00:00,174.45,4.3,127.15,40.03,37.02,1.34,54,128.62,55.92,81.09,6800,53.1,53.1,110.65,108.28,12.53,610.98,64.29,30.2,37145
2019-02-05 00:00:00+00:00,175.2,4.35,129.22,40.27,37.46,1.33,54.15,129.98,55.58,81.14,6800,55.9,55.9,110.92,110.03,12.53,608.45,61.5,29.65,37472
2019-02-06 00:00:00+00:00,169.28,4.28,124.62,40.51,37.24,1.3,54.3,126.1,54.4,79.45,6775,55.6,55.6,106.55,107.23,12.57,600.02,61.05,28.5,36732
2019-02-07 00:00:00+00:00,167.01,4.09,121.21,38.64,37.24,1.27,54.25,122.54,54.5,76.95,6800,54.4,54.4,107.59,104.02,12.7,577.49,62.85,27.9,35929
2019-02-08 00:00:00+00:00,169.99,4.13,123.96,38.78,37.42,1.29,55.95,127.22,54.84,75.73,6500,55.45,55.45,109.88,104.59,12.78,586.97,62.67,29.1,36664
2019-02-11 00:00:00+00:00,170.73,4.22,123.48,40.22,37.1,1.3,56.5,129.46,55.38,77.16,6800,58.9,58.9,109.88,109.9,12.7,580.17,62.4,28.9,37024
2019-02-12 00:00:00+00:00,175.12,4.47,128.44,40.89,37.1,1.3,55.9,131.19,56.17,76.99,6970,58.55,58.55,111.91,111.3,12.57,600.96,61.68,29.3,37686
2019-02-13 00:00:00+00:00,169.28,4.49,123.51,40.36,36.73,1.3,55.1,126.38,54.4,74.21,6850,57.8,57.8,110.51,108.32,12.49,595.01,61.14,29.35,37039
2019-02-14 00:00:00+00:00,173.59,4.46,123.73,40.46,36.55,1.35,55.4,127.31,53.32,76.23,6903,57.75,57.75,111.59,108.72,12.45,600.61,60.16,29.5,37386
2019-02-15 00:00:00+00:00,172.85,4.44,121.62,39.93,36.41,1.32,55,126.05,53.03,76.61,7001,57.75,57.75,111.28,107.27,13.07,598.88,60.16,29.45,37470
2019-02-18 00:00:00+00:00,170.11,4.54,119.03,39.21,36.37,1.33,54.05,125.3,53.71,75.26,7000,56.9,56.9,112.35,105.95,13.73,589.6,59.71,29,37355
2019-02-19 00:00:00+00:00,160.78,4.39,115.51,38.59,35.72,1.3,52.65,120.21,51.41,73.02,7250,54.1,54.1,107,100.91,13.28,576.5,58.36,28,36292
2019-02-20 00:00:00+00:00,160.55,4.36,112.98,38.4,35.54,1.29,53.4,122.5,52.34,73.74,7325,55.5,55.5,107.05,102.53,12.7,584.04,57.91,27.65,36504
2019-02-21 00:00:00+00:00,159.14,4.52,110.46,38.45,35.47,1.28,51.75,119.51,52.09,74.63,7243.5,53.25,53.25,109.66,99.77,12.49,574.02,57.82,27.7,35852
2019-02-22 00:00:00+00:00,165.76,4.49,116.91,39.79,35.83,1.29,52.9,123.29,52.73,77.63,7350,53.75,53.75,109.25,104.73,12.7,587.86,58.9,28.4,36647
2019-02-25 00:00:00+00:00,161.72,4.36,115.65,39.74,35.72,1.28,52.6,122.96,51.8,76.78,7360,53.45,53.45,106.46,107.31,12.57,573.77,58.63,28.45,36332
2019-02-26 00:00:00+00:00,162.86,4.31,113.1,38.97,34.7,1.27,52,121.33,50.13,76.28,7240,53.25,53.25,106.91,105.08,12.41,562.9,57.91,28,36027
2019-02-27 00:00:00+00:00,162.74,4.2,109.72,38.16,34.96,1.27,50,116.37,50.08,75.22,8425.5,51.05,51.05,105.21,102.18,12.16,556.75,57.46,27.4,35346
2019-02-28 00:00:00+00:00,154.12,4.2,107.13,38.16,34.96,1.24,50.25,112.96,51.7,74.04,8900,50.75,50.75,105.16,100.43,12.08,550,56.65,26.9,34486
2019-03-01 00:00:00+00:00,146.83,4.09,104.35,37.58,34.99,1.23,50.4,109.78,54.94,74.33,9058.5,49.1,49.1,105.3,97.8,12.03,545.98,55.94,26.8,33835
2019-03-06 00:00:00+00:00,139.51,3.92,102.46,37.29,34.41,1.2,50.4,101.69,52.09,76.15,9483,47.55,47.55,106.29,93.54,11.66,498.44,53.87,24.9,32340
2019-03-07 00:00:00+00:00,144.91,3.97,107.31,38.4,36.12,1.2,51.25,102.02,51.11,76.36,9624.5,50.1,50.1,113.21,97.8,11.5,537.84,52.97,25.2,33190
2019-03-08 00:00:00+00:00,143.94,3.86,108.05,38.3,35.72,1.21,51.3,103.09,51.06,81.94,9300,49.85,49.85,109.16,102.09,11.33,531.84,53.87,24.9,33020
2019-03-11 00:00:00+00:00,154.12,3.92,109.09,37.34,35.28,1.2,51.75,106.13,51.55,84.77,9985,50.6,50.6,112.58,105.21,11.46,556.45,52.08,24.6,33791
2019-03-12 00:00:00+00:00,148.17,3.92,105.46,38.16,35.65,1.23,52.2,104.54,49.98,83.76,10000,49.65,49.65,114.2,102.4,11.79,563.7,52.17,25,33681
2019-03-13 00:00:00+00:00,151.65,3.97,106.31,37.77,36.08,1.26,51.45,106.27,50.57,84.09,10459,50.7,50.7,113.39,102.88,12.08,571.73,52.08,24.7,34023
2019-03-14 00:00:00+00:00,150.2,3.89,103.35,37.53,36.08,1.26,49.65,104.12,49.39,82.53,10080,48.85,48.85,111.41,101.31,12.28,567.17,52.79,23.9,33531
2019-03-15 00:00:00+00:00,156.04,3.94,106.54,38.73,36.33,1.26,50.55,105.95,50.77,85.4,9850,49.55,49.55,112,102.31,12.41,572.48,52.52,24.7,33933
2019-03-18 00:00:00+00:00,162.19,3.97,110.91,40.75,36.23,1.26,50.8,110.15,50.96,84.43,9750,52.6,52.6,111.64,106.17,12.82,580.47,51.18,25,34939
2019-03-19 00:00:00+00:00,163.95,3.96,108.8,39.31,35.9,1.32,49.6,108.8,50.08,86.88,9750,50.7,50.7,113.03,103.1,12.41,573.57,51.36,24.05,34373
2019-03-20 00:00:00+00:00,168.42,3.89,110.09,39.02,36.95,1.29,50.2,110.11,50.03,85.36,10228.5,51.9,51.9,113.75,104.33,12.24,587.96,51.18,23.8,34744
